event_file;eeg_file;total_votes_received;fraction_of_yes;Mode
Bonobo00036_1_116367;Bonobo00036_1;8;0.375;Train
Bonobo00036_1_118616;Bonobo00036_1;8;0.125;Train
Bonobo00036_1_131990;Bonobo00036_1;8;0.25;Train
Bonobo00036_1_136953;Bonobo00036_1;8;0.75;Train
Bonobo00036_1_173106;Bonobo00036_1;8;0.25;Train
Bonobo00036_1_179559;Bonobo00036_1;8;0.625;Train
Bonobo00036_1_200633;Bonobo00036_1;8;0.375;Train
Bonobo00036_1_212976;Bonobo00036_1;8;0.75;Train
Bonobo00036_1_256222;Bonobo00036_1;8;0.5;Train
Bonobo00036_1_5165;Bonobo00036_1;8;0.25;Train
Bonobo00038_1_118011;Bonobo00038_1;8;0.375;Train
Bonobo00038_1_118090;Bonobo00038_1;8;0.625;Train
Bonobo00038_1_127842;Bonobo00038_1;8;0.25;Train
Bonobo00038_1_162790;Bonobo00038_1;8;0.625;Train
Bonobo00038_1_31880;Bonobo00038_1;8;0.25;Train
Bonobo00038_1_42049;Bonobo00038_1;8;0.125;Train
Bonobo00038_1_47020;Bonobo00038_1;8;0.5;Train
Bonobo00049_0_208041;Bonobo00049_0;8;0.375;Test
Bonobo00049_0_255442;Bonobo00049_0;8;0.0;Test
Bonobo00050_0_38;Bonobo00050_0;12;0.0;Train
Bonobo00054_1_124767;Bonobo00054_1;8;0.0;Train
Bonobo00054_1_125345;Bonobo00054_1;8;0.125;Train
Bonobo00054_1_125787;Bonobo00054_1;8;0.5;Train
Bonobo00054_1_126231;Bonobo00054_1;8;0.0;Train
Bonobo00054_1_126296;Bonobo00054_1;8;0.125;Train
Bonobo00054_1_127220;Bonobo00054_1;8;0.75;Train
Bonobo00054_1_127764;Bonobo00054_1;8;1.0;Train
Bonobo00054_1_127962;Bonobo00054_1;8;0.625;Train
Bonobo00054_1_127972;Bonobo00054_1;8;0.375;Train
Bonobo00054_1_84546;Bonobo00054_1;8;1.0;Train
Bonobo00055_1_117930;Bonobo00055_1;8;0.0;Train
Bonobo00055_1_127140;Bonobo00055_1;8;0.5;Train
Bonobo00055_1_2552;Bonobo00055_1;8;0.0;Train
Bonobo00055_1_59760;Bonobo00055_1;8;0.875;Train
Bonobo00058_0_2771;Bonobo00058_0;3;0.0;Train
Bonobo00060_0_2301;Bonobo00060_0;12;0.0;Train
Bonobo00073_0_96193;Bonobo00073_0;8;0.0;Train
Bonobo00082_0_21949;Bonobo00082_0;8;0.125;Train
Bonobo00082_0_32510;Bonobo00082_0;8;0.0;Train
Bonobo00082_0_32952;Bonobo00082_0;8;0.625;Train
Bonobo00082_0_33916;Bonobo00082_0;8;0.5;Train
Bonobo00082_0_50329;Bonobo00082_0;8;0.25;Train
Bonobo00082_0_63211;Bonobo00082_0;8;0.125;Train
Bonobo00082_0_72205;Bonobo00082_0;8;0.0;Train
Bonobo00082_0_87919;Bonobo00082_0;8;0.125;Train
Bonobo00086_0_1062;Bonobo00086_0;18;0.2777777777777778;Val
Bonobo00086_0_1188;Bonobo00086_0;12;0.0833333333333333;Val
Bonobo00086_0_1667;Bonobo00086_0;18;0.7222222222222222;Val
Bonobo00086_0_283;Bonobo00086_0;18;0.3333333333333333;Val
Bonobo00086_0_305;Bonobo00086_0;3;1.0;Val
Bonobo00086_0_3476;Bonobo00086_0;18;0.4444444444444444;Val
Bonobo00086_0_492;Bonobo00086_0;12;0.25;Val
Bonobo00099_1_167489;Bonobo00099_1;8;0.0;Train
Bonobo00099_1_187265;Bonobo00099_1;8;0.0;Train
Bonobo00107_1_194955;Bonobo00107_1;8;0.75;Train
Bonobo00107_1_262651;Bonobo00107_1;8;0.625;Train
Bonobo00110_1_124841;Bonobo00110_1;8;0.375;Test
Bonobo00112_1_11607;Bonobo00112_1;8;0.75;Train
Bonobo00112_1_13445;Bonobo00112_1;8;0.875;Train
Bonobo00112_1_13537;Bonobo00112_1;8;0.875;Train
Bonobo00112_1_15122;Bonobo00112_1;8;0.375;Train
Bonobo00112_1_16777;Bonobo00112_1;8;0.75;Train
Bonobo00112_1_3086;Bonobo00112_1;8;0.75;Train
Bonobo00112_1_3591;Bonobo00112_1;8;0.125;Train
Bonobo00112_1_4079;Bonobo00112_1;8;0.75;Train
Bonobo00112_1_4437;Bonobo00112_1;8;0.5;Train
Bonobo00112_1_5257;Bonobo00112_1;8;0.75;Train
Bonobo00112_1_6339;Bonobo00112_1;8;0.625;Train
Bonobo00112_1_8668;Bonobo00112_1;8;0.875;Train
Bonobo00112_1_8783;Bonobo00112_1;8;0.875;Train
Bonobo00112_1_9581;Bonobo00112_1;8;0.5;Train
Bonobo00112_1_986;Bonobo00112_1;8;0.75;Train
Bonobo00113_0_1592;Bonobo00113_0;3;0.3333333333333333;Test
Bonobo00113_0_3292;Bonobo00113_0;12;0.5833333333333334;Test
Bonobo00114_1_151605;Bonobo00114_1;8;0.25;Train
Bonobo00114_1_170472;Bonobo00114_1;8;0.5;Train
Bonobo00115_0_326;Bonobo00115_0;12;0.0;Val
Bonobo00115_1_175122;Bonobo00115_1;8;0.25;Val
Bonobo00115_1_2208;Bonobo00115_1;8;1.0;Val
Bonobo00115_1_69413;Bonobo00115_1;8;0.625;Val
Bonobo00120_0_1672;Bonobo00120_0;12;0.1666666666666666;Val
Bonobo00136_0_737;Bonobo00136_0;12;0.4166666666666667;Train
Bonobo00139_0_3267;Bonobo00139_0;12;0.0;Train
Bonobo00143_1_100975;Bonobo00143_1;8;0.75;Train
Bonobo00154_0_178160;Bonobo00154_0;8;0.75;Train
Bonobo00154_0_57212;Bonobo00154_0;8;0.875;Train
Bonobo00154_0_64482;Bonobo00154_0;8;0.625;Train
Bonobo00154_0_86294;Bonobo00154_0;8;0.375;Train
Bonobo00155_0_2804;Bonobo00155_0;12;0.0;Train
Bonobo00157_0_424;Bonobo00157_0;12;0.0;Train
Bonobo00159_0_117393;Bonobo00159_0;8;0.75;Train
Bonobo00159_0_32078;Bonobo00159_0;8;0.25;Train
Bonobo00159_0_61297;Bonobo00159_0;8;0.25;Train
Bonobo00159_0_70470;Bonobo00159_0;8;0.25;Train
Bonobo00159_0_83467;Bonobo00159_0;8;0.5;Train
Bonobo00167_0_1484;Bonobo00167_0;12;0.0;Train
Bonobo00177_0_2704;Bonobo00177_0;3;0.6666666666666666;Train
Bonobo00177_0_3018;Bonobo00177_0;18;0.7222222222222222;Train
Bonobo00177_0_3522;Bonobo00177_0;12;0.5833333333333334;Train
Bonobo00179_0_3105;Bonobo00179_0;12;0.0833333333333333;Train
Bonobo00180_1_126844;Bonobo00180_1;8;0.875;Val
Bonobo00180_1_127080;Bonobo00180_1;8;0.75;Val
Bonobo00180_1_161020;Bonobo00180_1;8;0.25;Val
Bonobo00180_1_204917;Bonobo00180_1;8;0.0;Val
Bonobo00180_1_228003;Bonobo00180_1;8;0.375;Val
Bonobo00180_1_236599;Bonobo00180_1;8;0.625;Val
Bonobo00180_1_236839;Bonobo00180_1;8;0.25;Val
Bonobo00180_1_252295;Bonobo00180_1;8;0.75;Val
Bonobo00183_0_810;Bonobo00183_0;18;0.4444444444444444;Train
Bonobo00186_0_3402;Bonobo00186_0;12;0.0;Test
Bonobo00190_0_2240;Bonobo00190_0;12;0.0;Train
Bonobo00200_0_128917;Bonobo00200_0;8;0.875;Test
Bonobo00200_0_140384;Bonobo00200_0;8;0.25;Test
Bonobo00200_0_140876;Bonobo00200_0;8;0.375;Test
Bonobo00200_0_149790;Bonobo00200_0;8;0.25;Test
Bonobo00200_0_186452;Bonobo00200_0;8;0.375;Test
Bonobo00203_0_1264;Bonobo00203_0;15;0.0;Train
Bonobo00203_0_2760;Bonobo00203_0;12;0.0;Train
Bonobo00204_0_18;Bonobo00204_0;12;0.0;Test
Bonobo00207_0_2255;Bonobo00207_0;15;0.0666666666666666;Test
Bonobo00207_0_2659;Bonobo00207_0;3;1.0;Test
Bonobo00207_1_120768;Bonobo00207_1;8;0.125;Test
Bonobo00207_1_133491;Bonobo00207_1;8;0.25;Test
Bonobo00207_1_14264;Bonobo00207_1;8;0.25;Test
Bonobo00207_1_164643;Bonobo00207_1;8;0.375;Test
Bonobo00207_1_28012;Bonobo00207_1;8;0.0;Test
Bonobo00207_1_29237;Bonobo00207_1;8;0.25;Test
Bonobo00207_1_29842;Bonobo00207_1;8;0.5;Test
Bonobo00207_1_45460;Bonobo00207_1;8;0.125;Test
Bonobo00207_1_63986;Bonobo00207_1;8;0.625;Test
Bonobo00207_1_65924;Bonobo00207_1;8;0.125;Test
Bonobo00207_1_70747;Bonobo00207_1;8;0.25;Test
Bonobo00207_1_92475;Bonobo00207_1;8;0.5;Test
Bonobo00211_1_127853;Bonobo00211_1;8;0.125;Train
Bonobo00211_1_136292;Bonobo00211_1;8;0.0;Train
Bonobo00211_1_136941;Bonobo00211_1;8;0.375;Train
Bonobo00211_1_141424;Bonobo00211_1;9;0.2222222222222222;Train
Bonobo00211_1_143120;Bonobo00211_1;8;0.75;Train
Bonobo00211_1_27417;Bonobo00211_1;8;0.5;Train
Bonobo00211_1_30408;Bonobo00211_1;8;0.375;Train
Bonobo00211_1_32434;Bonobo00211_1;8;0.5;Train
Bonobo00211_1_35407;Bonobo00211_1;8;0.25;Train
Bonobo00215_0_2074;Bonobo00215_0;12;0.9166666666666666;Train
Bonobo00218_0_220161;Bonobo00218_0;8;0.0;Train
Bonobo00218_0_39873;Bonobo00218_0;8;0.0;Train
Bonobo00227_0_2335;Bonobo00227_0;3;0.0;Val
Bonobo00228_0_2706;Bonobo00228_0;12;0.0;Train
Bonobo00230_0_2036;Bonobo00230_0;12;0.9166666666666666;Val
Bonobo00231_0_1457;Bonobo00231_0;15;0.2666666666666666;Train
Bonobo00231_0_1506;Bonobo00231_0;15;0.3333333333333333;Train
Bonobo00231_0_1810;Bonobo00231_0;3;0.6666666666666666;Train
Bonobo00238_0_2399;Bonobo00238_0;12;0.5;Test
Bonobo00238_0_2452;Bonobo00238_0;12;0.8333333333333334;Test
Bonobo00238_0_2665;Bonobo00238_0;18;0.8888888888888888;Test
Bonobo00238_0_62;Bonobo00238_0;18;0.8333333333333334;Test
Bonobo00249_0_1125;Bonobo00249_0;15;0.9333333333333332;Train
Bonobo00249_0_1328;Bonobo00249_0;12;1.0;Train
Bonobo00249_0_1408;Bonobo00249_0;15;0.8666666666666667;Train
Bonobo00249_0_2235;Bonobo00249_0;15;0.9333333333333332;Train
Bonobo00249_0_2555;Bonobo00249_0;18;1.0;Train
Bonobo00249_0_2664;Bonobo00249_0;15;0.9333333333333332;Train
Bonobo00249_0_3021;Bonobo00249_0;18;1.0;Train
Bonobo00249_0_3323;Bonobo00249_0;18;1.0;Train
Bonobo00249_0_3326;Bonobo00249_0;18;0.9444444444444444;Train
Bonobo00249_0_919;Bonobo00249_0;18;1.0;Train
Bonobo00249_0_960;Bonobo00249_0;12;0.9166666666666666;Train
Bonobo00250_0_1008;Bonobo00250_0;3;0.0;Train
Bonobo00252_0_129346;Bonobo00252_0;8;1.0;Train
Bonobo00252_0_161992;Bonobo00252_0;8;1.0;Train
Bonobo00252_0_212969;Bonobo00252_0;8;1.0;Train
Bonobo00252_0_48226;Bonobo00252_0;8;1.0;Train
Bonobo00252_0_53260;Bonobo00252_0;8;1.0;Train
Bonobo00252_0_56396;Bonobo00252_0;8;1.0;Train
Bonobo00254_0_2553;Bonobo00254_0;12;0.0833333333333333;Train
Bonobo00255_0_2148;Bonobo00255_0;12;0.5;Test
Bonobo00255_0_2580;Bonobo00255_0;12;0.6666666666666666;Test
Bonobo00266_0_100;Bonobo00266_0;15;0.5333333333333333;Test
Bonobo00266_0_1778;Bonobo00266_0;12;0.5833333333333334;Test
Bonobo00273_0_1278;Bonobo00273_0;12;0.4166666666666667;Val
Bonobo00273_0_1454;Bonobo00273_0;15;0.5333333333333333;Val
Bonobo00273_0_3023;Bonobo00273_0;12;0.8333333333333334;Val
Bonobo00273_0_3155;Bonobo00273_0;15;0.7333333333333333;Val
Bonobo00279_0_3220;Bonobo00279_0;12;0.0;Train
Bonobo00291_0_1240;Bonobo00291_0;18;0.8888888888888888;Train
Bonobo00291_0_1291;Bonobo00291_0;12;0.0;Train
Bonobo00291_0_2826;Bonobo00291_0;18;0.7222222222222222;Train
Bonobo00291_0_690;Bonobo00291_0;12;0.5;Train
Bonobo00293_1_165966;Bonobo00293_1;8;0.625;Val
Bonobo00293_1_190988;Bonobo00293_1;8;0.75;Val
Bonobo00293_1_93124;Bonobo00293_1;8;0.25;Val
Bonobo00300_1_276461;Bonobo00300_1;8;0.125;Train
Bonobo00300_1_514736;Bonobo00300_1;8;0.625;Train
Bonobo00300_1_542235;Bonobo00300_1;8;0.125;Train
Bonobo00300_1_547281;Bonobo00300_1;8;0.25;Train
Bonobo00300_1_555380;Bonobo00300_1;8;0.75;Train
Bonobo00300_1_568956;Bonobo00300_1;8;0.125;Train
Bonobo00300_1_579779;Bonobo00300_1;8;0.25;Train
Bonobo00308_0_3271;Bonobo00308_0;15;0.0;Train
Bonobo00319_0_1198;Bonobo00319_0;15;0.0;Train
Bonobo00320_0_1164;Bonobo00320_0;12;0.0;Train
Bonobo00325_0_898;Bonobo00325_0;12;0.0;Train
Bonobo00327_0_1649;Bonobo00327_0;3;0.0;Train
Bonobo00327_0_589;Bonobo00327_0;12;0.4166666666666667;Train
Bonobo00330_1_108921;Bonobo00330_1;8;0.375;Train
Bonobo00330_1_112965;Bonobo00330_1;8;0.75;Train
Bonobo00330_1_141660;Bonobo00330_1;8;0.125;Train
Bonobo00330_1_216956;Bonobo00330_1;8;0.625;Train
Bonobo00330_1_25523;Bonobo00330_1;8;0.625;Train
Bonobo00330_1_63684;Bonobo00330_1;8;0.25;Train
Bonobo00330_1_97731;Bonobo00330_1;8;0.25;Train
Bonobo00340_0_1459;Bonobo00340_0;18;0.6111111111111112;Train
Bonobo00340_0_158;Bonobo00340_0;18;0.8888888888888888;Train
Bonobo00340_0_1686;Bonobo00340_0;3;1.0;Train
Bonobo00340_0_1710;Bonobo00340_0;18;1.0;Train
Bonobo00340_0_2362;Bonobo00340_0;12;0.6666666666666666;Train
Bonobo00340_0_3172;Bonobo00340_0;18;0.5;Train
Bonobo00340_0_621;Bonobo00340_0;18;1.0;Train
Bonobo00340_0_76;Bonobo00340_0;12;1.0;Train
Bonobo00342_0_1832;Bonobo00342_0;12;0.3333333333333333;Train
Bonobo00346_1_115641;Bonobo00346_1;8;0.5;Train
Bonobo00346_1_120281;Bonobo00346_1;8;0.75;Train
Bonobo00346_1_122884;Bonobo00346_1;8;0.75;Train
Bonobo00346_1_151834;Bonobo00346_1;8;0.875;Train
Bonobo00346_1_189182;Bonobo00346_1;8;0.375;Train
Bonobo00346_1_191211;Bonobo00346_1;8;0.875;Train
Bonobo00346_1_32286;Bonobo00346_1;8;0.625;Train
Bonobo00346_1_38286;Bonobo00346_1;8;0.5;Train
Bonobo00346_1_54497;Bonobo00346_1;8;1.0;Train
Bonobo00346_1_73800;Bonobo00346_1;8;0.875;Train
Bonobo00346_1_74936;Bonobo00346_1;8;0.75;Train
Bonobo00346_1_84493;Bonobo00346_1;8;0.5;Train
Bonobo00349_0_1283;Bonobo00349_0;15;0.8;Test
Bonobo00349_0_1714;Bonobo00349_0;15;0.8;Test
Bonobo00349_0_2233;Bonobo00349_0;12;0.75;Test
Bonobo00349_0_822;Bonobo00349_0;15;0.4666666666666667;Test
Bonobo00351_0_3280;Bonobo00351_0;12;0.0;Train
Bonobo00354_0_2940;Bonobo00354_0;12;0.0;Val
Bonobo00363_0_2816;Bonobo00363_0;12;0.8333333333333334;Train
Bonobo00364_0_1619;Bonobo00364_0;18;0.4444444444444444;Train
Bonobo00364_0_1956;Bonobo00364_0;3;0.0;Train
Bonobo00364_0_2376;Bonobo00364_0;12;0.0;Train
Bonobo00364_0_244;Bonobo00364_0;12;0.1666666666666666;Train
Bonobo00365_1_103510;Bonobo00365_1;8;0.75;Val
Bonobo00365_1_84446;Bonobo00365_1;8;1.0;Val
Bonobo00365_1_84454;Bonobo00365_1;8;1.0;Val
Bonobo00365_2_105794;Bonobo00365_2;8;0.75;Val
Bonobo00365_2_105802;Bonobo00365_2;8;0.75;Val
Bonobo00365_2_115756;Bonobo00365_2;8;0.75;Val
Bonobo00365_2_119480;Bonobo00365_2;8;0.625;Val
Bonobo00365_2_124184;Bonobo00365_2;8;0.625;Val
Bonobo00365_2_125435;Bonobo00365_2;8;0.875;Val
Bonobo00365_2_129357;Bonobo00365_2;8;0.625;Val
Bonobo00365_2_130731;Bonobo00365_2;8;0.75;Val
Bonobo00365_2_150738;Bonobo00365_2;8;0.5;Val
Bonobo00365_2_15216;Bonobo00365_2;8;0.625;Val
Bonobo00365_2_178983;Bonobo00365_2;8;0.75;Val
Bonobo00365_2_186830;Bonobo00365_2;8;0.75;Val
Bonobo00365_2_195029;Bonobo00365_2;8;0.625;Val
Bonobo00365_2_198770;Bonobo00365_2;8;0.75;Val
Bonobo00365_2_198778;Bonobo00365_2;8;0.375;Val
Bonobo00365_2_206508;Bonobo00365_2;8;0.625;Val
Bonobo00365_2_206520;Bonobo00365_2;8;0.75;Val
Bonobo00365_2_221427;Bonobo00365_2;8;0.75;Val
Bonobo00365_2_225576;Bonobo00365_2;8;0.625;Val
Bonobo00365_2_28269;Bonobo00365_2;8;0.75;Val
Bonobo00365_2_34367;Bonobo00365_2;8;0.75;Val
Bonobo00365_2_4084;Bonobo00365_2;8;0.75;Val
Bonobo00365_2_48943;Bonobo00365_2;8;0.75;Val
Bonobo00365_2_54547;Bonobo00365_2;8;0.75;Val
Bonobo00365_2_59141;Bonobo00365_2;8;0.625;Val
Bonobo00365_2_69553;Bonobo00365_2;8;0.75;Val
Bonobo00365_2_69658;Bonobo00365_2;8;0.25;Val
Bonobo00365_2_75373;Bonobo00365_2;8;0.625;Val
Bonobo00365_2_81147;Bonobo00365_2;8;0.375;Val
Bonobo00365_2_82750;Bonobo00365_2;8;0.625;Val
Bonobo00365_2_83700;Bonobo00365_2;8;0.5;Val
Bonobo00365_2_84207;Bonobo00365_2;8;0.75;Val
Bonobo00365_2_90001;Bonobo00365_2;8;0.75;Val
Bonobo00365_2_90321;Bonobo00365_2;8;0.625;Val
Bonobo00365_2_90408;Bonobo00365_2;8;0.75;Val
Bonobo00365_2_91958;Bonobo00365_2;8;0.5;Val
Bonobo00365_2_93890;Bonobo00365_2;8;0.375;Val
Bonobo00365_2_94989;Bonobo00365_2;8;0.5;Val
Bonobo00369_0_2977;Bonobo00369_0;12;0.0;Test
Bonobo00371_0_3396;Bonobo00371_0;12;0.5833333333333334;Val
Bonobo00374_0_1978;Bonobo00374_0;12;0.3333333333333333;Train
Bonobo00374_0_2041;Bonobo00374_0;12;0.6666666666666666;Train
Bonobo00374_0_2894;Bonobo00374_0;18;0.1666666666666666;Train
Bonobo00374_1_100413;Bonobo00374_1;8;0.75;Train
Bonobo00374_1_102598;Bonobo00374_1;8;0.875;Train
Bonobo00374_1_107496;Bonobo00374_1;8;0.75;Train
Bonobo00374_1_107843;Bonobo00374_1;8;0.75;Train
Bonobo00374_1_111389;Bonobo00374_1;8;0.75;Train
Bonobo00374_1_112446;Bonobo00374_1;8;0.75;Train
Bonobo00374_1_11318;Bonobo00374_1;8;0.5;Train
Bonobo00374_1_113548;Bonobo00374_1;8;0.75;Train
Bonobo00374_1_115414;Bonobo00374_1;8;0.75;Train
Bonobo00374_1_12175;Bonobo00374_1;8;0.5;Train
Bonobo00374_1_126848;Bonobo00374_1;8;0.75;Train
Bonobo00374_1_129517;Bonobo00374_1;8;0.75;Train
Bonobo00374_1_131217;Bonobo00374_1;8;0.75;Train
Bonobo00374_1_135170;Bonobo00374_1;8;0.75;Train
Bonobo00374_1_149065;Bonobo00374_1;8;1.0;Train
Bonobo00374_1_151785;Bonobo00374_1;8;0.875;Train
Bonobo00374_1_28447;Bonobo00374_1;8;0.875;Train
Bonobo00374_1_74495;Bonobo00374_1;8;0.75;Train
Bonobo00378_0_2943;Bonobo00378_0;3;0.0;Train
Bonobo00382_0_1987;Bonobo00382_0;12;0.0;Val
Bonobo00387_0_1428;Bonobo00387_0;15;0.0;Train
Bonobo00387_0_1540;Bonobo00387_0;18;0.0555555555555555;Train
Bonobo00387_0_2546;Bonobo00387_0;12;0.0;Train
Bonobo00387_0_2694;Bonobo00387_0;12;0.0;Train
Bonobo00392_0_3011;Bonobo00392_0;3;0.0;Test
Bonobo00394_0_10674;Bonobo00394_0;8;1.0;Train
Bonobo00394_0_113642;Bonobo00394_0;8;0.75;Train
Bonobo00394_0_12364;Bonobo00394_0;8;0.625;Train
Bonobo00394_0_36636;Bonobo00394_0;8;0.75;Train
Bonobo00394_0_37666;Bonobo00394_0;8;0.125;Train
Bonobo00394_0_55894;Bonobo00394_0;8;0.625;Train
Bonobo00395_0_108349;Bonobo00395_0;8;0.375;Val
Bonobo00395_0_110984;Bonobo00395_0;8;0.375;Val
Bonobo00395_0_118902;Bonobo00395_0;8;0.625;Val
Bonobo00395_0_119923;Bonobo00395_0;8;0.25;Val
Bonobo00395_0_121820;Bonobo00395_0;8;0.375;Val
Bonobo00395_0_122351;Bonobo00395_0;8;0.0;Val
Bonobo00395_0_133439;Bonobo00395_0;8;0.375;Val
Bonobo00395_0_136504;Bonobo00395_0;8;0.5;Val
Bonobo00395_0_142685;Bonobo00395_0;8;0.375;Val
Bonobo00395_0_142839;Bonobo00395_0;8;0.75;Val
Bonobo00395_0_142915;Bonobo00395_0;8;0.375;Val
Bonobo00395_0_166759;Bonobo00395_0;8;0.375;Val
Bonobo00395_0_169436;Bonobo00395_0;8;0.125;Val
Bonobo00395_0_180198;Bonobo00395_0;8;0.25;Val
Bonobo00395_0_182957;Bonobo00395_0;8;0.125;Val
Bonobo00395_0_185254;Bonobo00395_0;23;0.0434782608695652;Val
Bonobo00395_0_193161;Bonobo00395_0;8;0.75;Val
Bonobo00395_0_196723;Bonobo00395_0;8;0.25;Val
Bonobo00395_0_200335;Bonobo00395_0;8;0.25;Val
Bonobo00395_0_211220;Bonobo00395_0;8;0.5;Val
Bonobo00395_0_240452;Bonobo00395_0;8;0.25;Val
Bonobo00395_0_249133;Bonobo00395_0;8;0.625;Val
Bonobo00395_0_261519;Bonobo00395_0;8;0.125;Val
Bonobo00395_0_263426;Bonobo00395_0;8;0.625;Val
Bonobo00395_0_264043;Bonobo00395_0;10;0.2;Val
Bonobo00395_0_269080;Bonobo00395_0;8;0.375;Val
Bonobo00395_0_284039;Bonobo00395_0;8;0.625;Val
Bonobo00395_0_285814;Bonobo00395_0;8;0.375;Val
Bonobo00395_0_286505;Bonobo00395_0;8;0.125;Val
Bonobo00395_0_298458;Bonobo00395_0;8;0.625;Val
Bonobo00395_0_63271;Bonobo00395_0;8;0.625;Val
Bonobo00396_0_2450;Bonobo00396_0;12;0.0833333333333333;Train
Bonobo00400_0_733;Bonobo00400_0;15;0.2666666666666666;Val
Bonobo00403_0_32;Bonobo00403_0;12;0.0;Train
Bonobo00407_0_1548;Bonobo00407_0;12;0.0;Train
Bonobo00408_0_234;Bonobo00408_0;12;0.0;Train
Bonobo00413_1_143750;Bonobo00413_1;8;0.375;Val
Bonobo00413_1_145566;Bonobo00413_1;8;0.125;Val
Bonobo00413_1_150730;Bonobo00413_1;8;0.625;Val
Bonobo00413_1_155306;Bonobo00413_1;8;0.5;Val
Bonobo00413_1_163066;Bonobo00413_1;8;0.375;Val
Bonobo00413_1_164537;Bonobo00413_1;8;0.625;Val
Bonobo00413_1_182032;Bonobo00413_1;8;0.375;Val
Bonobo00413_1_190857;Bonobo00413_1;8;0.875;Val
Bonobo00430_0_2256;Bonobo00430_0;12;0.0;Train
Bonobo00437_0_144604;Bonobo00437_0;8;0.5;Train
Bonobo00437_0_5183;Bonobo00437_0;8;0.375;Train
Bonobo00437_0_66093;Bonobo00437_0;8;0.375;Train
Bonobo00437_0_75588;Bonobo00437_0;8;0.25;Train
Bonobo00437_0_82667;Bonobo00437_0;8;0.25;Train
Bonobo00437_0_95467;Bonobo00437_0;8;0.375;Train
Bonobo00437_0_9894;Bonobo00437_0;8;0.625;Train
Bonobo00437_0_9904;Bonobo00437_0;8;1.0;Train
Bonobo00442_0_1813;Bonobo00442_0;12;0.0;Train
Bonobo00442_0_3397;Bonobo00442_0;3;0.0;Train
Bonobo00442_0_771;Bonobo00442_0;12;0.0;Train
Bonobo00447_0_3322;Bonobo00447_0;18;0.0;Train
Bonobo00456_0_1986;Bonobo00456_0;12;0.75;Train
Bonobo00456_0_2357;Bonobo00456_0;3;0.0;Train
Bonobo00456_0_2689;Bonobo00456_0;12;0.9166666666666666;Train
Bonobo00456_0_2839;Bonobo00456_0;18;0.9444444444444444;Train
Bonobo00461_0_1586;Bonobo00461_0;18;0.2222222222222222;Test
Bonobo00461_0_1607;Bonobo00461_0;12;0.4166666666666667;Test
Bonobo00461_0_2809;Bonobo00461_0;18;0.5555555555555556;Test
Bonobo00461_0_3359;Bonobo00461_0;12;0.6666666666666666;Test
Bonobo00464_0_869;Bonobo00464_0;12;0.0;Train
